,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap,prechgPct,chgPct
101,600066.XSHG,600066,郑州客车,XSHG,1997/9/30,17.2,17.2,17.2,17.8,17.2,17.61,57450,1008917,,0.0016,0.022458922,616350000,1285530000,0.0238,,,3.7923,1,,-0.0255,
102,600066.XSHG,600066,郑州客车,XSHG,1997/10/6,17.61,17.61,17.66,17.68,17,17.6,37187,652273,,0.0011,0.022458922,616000000,1284800000,-0.0006,,,3.7901,1,,0.0238,
103,600066.XSHG,600066,郑州客车,XSHG,1997/10/7,17.6,17.6,17.6,17.75,17.5,17.75,42668,751288,,0.0012,0.022458922,621250000,1295750000,0.0085,,,3.8224,1,,-0.0006,
104,600066.XSHG,600066,郑州客车,XSHG,1997/10/8,17.75,17.75,18.01,18.25,17.8,18.01,108396,1959936,,0.0031,0.022458922,630350000,1314730000,0.0146,,,3.8784,1,,0.0085,
105,600066.XSHG,600066,郑州客车,XSHG,1997/10/9,18.01,18.01,17.95,18.35,17.95,18.09,98039,1780650,,0.0028,0.022458922,633150000,1320570000,0.0044,,,3.8956,1,,0.0146,
106,600066.XSHG,600066,郑州客车,XSHG,1997/10/10,18.09,18.09,18.18,18.8,18.18,18.6,277158,5165057,,0.0079,0.022458922,651000000,1357800000,0.0282,,,4.0055,1,,0.0044,
107,600066.XSHG,600066,郑州客车,XSHG,1997/10/13,18.6,18.6,18.65,18.73,18.4,18.45,86227,1598516,,0.0025,0.022458922,645750000,1346850000,-0.0081,,,3.9732,1,,0.0282,
108,600066.XSHG,600066,郑州客车,XSHG,1997/10/14,18.45,18.45,18.5,18.5,18.16,18.36,52895,969038,,0.0015,0.022458922,642600000,1340280000,-0.0049,,,3.9538,1,,-0.0081,
109,600066.XSHG,600066,郑州客车,XSHG,1997/10/15,18.36,18.36,18.38,18.79,18.34,18.63,90592,1684534,,0.0026,0.022458922,652050000,1359990000,0.0147,,,4.0119,1,,-0.0049,
110,600066.XSHG,600066,郑州客车,XSHG,1997/10/16,18.63,18.63,18.8,19.98,18.8,19.59,671910,13074053,,0.0192,0.022458922,685650000,1430070000,0.0515,,,4.2187,1,,0.0147,
111,600066.XSHG,600066,郑州客车,XSHG,1997/10/17,19.59,19.59,19.8,19.96,19.4,19.88,528939,10452398,,0.0151,0.022458922,695800000,1451240000,0.0148,,,4.2811,1,,0.0515,
112,600066.XSHG,600066,郑州客车,XSHG,1997/10/20,19.88,19.88,19.9,19.98,19.58,19.8,371610,7333481,,0.0106,0.022458922,693000000,1445400000,-0.004,,,4.2639,1,,0.0148,
113,600066.XSHG,600066,郑州客车,XSHG,1997/10/21,19.8,19.8,20,20.15,19.88,20.08,422384,8462219,,0.0121,0.022458922,702800000,1465840000,0.0141,,,4.3242,1,,-0.004,
114,600066.XSHG,600066,郑州客车,XSHG,1997/10/22,20.08,20.08,20.08,20.75,19.81,19.92,570052,11525091,,0.0163,0.022458922,697200000,1454160000,-0.008,,,4.2897,1,,0.0141,
115,600066.XSHG,600066,郑州客车,XSHG,1997/10/23,19.92,19.92,19.9,20,19.42,19.69,291231,5763622,,0.0083,0.022458922,689150000,1437370000,-0.0115,,,4.2402,1,,-0.008,
116,600066.XSHG,600066,郑州客车,XSHG,1997/10/24,19.69,19.69,20.38,20.5,19.82,20.33,277209,5542534,,0.0079,0.022458922,711550000,1484090000,0.0325,,,4.378,1,,-0.0115,
117,600066.XSHG,600066,郑州客车,XSHG,1997/10/27,20.33,20.33,20.5,20.99,20.5,20.77,579660,12059011,,0.0166,0.022458922,726950000,1516210000,0.0216,,,4.4728,1,,0.0325,
118,600066.XSHG,600066,郑州客车,XSHG,1997/10/28,20.77,20.77,20.8,20.9,19.85,19.97,397918,8073521,,0.0114,0.022458922,698950000,1457810000,-0.0385,,,4.3005,1,,0.0216,
119,600066.XSHG,600066,郑州客车,XSHG,1997/10/29,19.97,19.97,19.9,20.1,19.65,19.99,250605,4983866,,0.0072,0.022458922,699650000,1459270000,0.001,,,4.3048,1,,-0.0385,
120,600066.XSHG,600066,郑州客车,XSHG,1997/10/30,19.99,19.99,20.28,20.5,19.6,19.7,386800,7809924,,0.0111,0.022458922,689500000,1438100000,-0.0145,,,4.2423,1,,0.001,
121,600066.XSHG,600066,郑州客车,XSHG,1997/10/31,19.7,19.7,19.6,19.98,19.35,19.79,304515,5975386,,0.0087,0.022458922,692650000,1444670000,0.0046,,,4.2617,1,,-0.0145,
122,600066.XSHG,600066,郑州客车,XSHG,1997/11/3,19.79,19.79,19.57,19.94,19.55,19.8,151856,2999454,,0.0043,0.022458922,693000000,1445400000,0.0005,,,4.2639,1,,0.0046,
123,600066.XSHG,600066,郑州客车,XSHG,1997/11/4,19.8,19.8,19.6,19.95,19.6,19.71,274370,5427353,,0.0078,0.022458922,689850000,1438830000,-0.0045,,,4.2445,1,,0.0005,
